"model","n_oos_rounds","n_participated_rounds","oos_corr_return","oos_return","oos_CVaR","oos_maxdd","pareto_3d_frontier"
"return_p90",60,60,0.00684333052727357,0.00492668206622283,-0.026583261965707,0.171436401500754,0
"maxdd_p10",60,60,0.00705698373467044,0.00559126773425437,-0.0225335994152276,0.128243834409999,0
"overlap",60,60,0.00751692451329349,0.00691984385348107,-0.0226542486585495,0.128615370112598,0
"NUMERAI_SWMM",60,60,0.0106823020937157,0.00801172657028675,-0.02391033289789,0.214366097217336,0
"BGDA_60_AUTO",59,59,0.013269559580603,0.0335383606820634,-0.0674151228267176,0.295985786121047,0
"FEARINDEX",60,60,0.0079909043756632,0.00918937660199813,-0.0303128125185388,0.218475422713776,0
"REPUTATION",60,60,0.0220445566382568,0.0479129775839109,-0.00983044345293756,0.0208561400733285,1
"VIDEIGREN",60,60,0.0112134891357879,0.0132094096649366,-0.0105263624170355,0.0137524205861244,1
"SHATTEREDX",60,60,0.0105224937523645,0.0121515173415274,-0.0174996540354725,0.0379692818975835,0
"JOS_STACK",60,60,0.00967587222970309,0.0102320637962829,-0.0371343771923962,0.178409991467529,0
"EGG_001",60,60,0.00592367419880914,0.0000924369463147953,-0.0506543760161839,0.511653800682093,0
"SSH48",60,60,0.00852276770349254,0.00931433251507382,-0.031311168176086,0.157402860985874,0
"WITCHYAI",60,60,0.0111095768290833,0.0128168135537972,-0.0151386652488019,0.0477304865854652,0
"MELONADA",60,60,0.0173967844942674,0.042749488341658,-0.0254608199288939,0.0994164563641221,0
"NB_EXAMPLE_MODEL",60,60,-0.00135449861591166,-0.00902834281606162,-0.0813326388196242,0.575427105891613,0
"NB_FEAT_NEUTRAL",60,60,-0.0016750143658651,-0.00851032784654589,-0.0783109311277204,0.56072112370138,0
"NB_HELLO_NUMERAI",60,60,-0.00132286589316745,-0.00896739164240028,-0.0813326388196242,0.575427105891613,0
"NB_TARGET_ENSEMBLE",60,60,-0.000548605802611146,-0.00658629264420556,-0.0779805828668128,0.568371812902201,0
"V5_EXAMPLE_PREDS",60,60,0.00145724700397486,-0.0137080011742985,-0.0791504380931958,0.788569212037299,0
"V5_LGBM_CT_BLEND",60,60,0.0014559361992237,-0.0137087845577272,-0.0791514569214451,0.788524216358685,0
"V5_LGBM_CYRUSD",60,60,-0.00200165958710922,-0.0226513615246801,-0.089387200429273,0.838219672061465,0
"V5_LGBM_TEAGER2B",60,60,0.00407799505842559,-0.00432681072802476,-0.0659741738829179,0.701600510298019,0
"INTEGRATION_TEST",60,60,-0.00184086266415518,-0.0237825314088406,-0.0679141801147251,0.795845142529418,0
"V52_LGBM_TEAGER2B60",59,59,0.00055483739979346,-0.0116211297858562,-0.0635188410952812,0.708382723790673,0
"V52_LGBM_TEAGER2B20",59,59,0.00360544575312062,-0.00521758996009918,-0.0644433116915006,0.685903685399595,0
"V52_LGBM_JASPER60",59,59,0.000468212692920584,-0.0135752388397059,-0.0728259230422708,0.63802729337668,0
"V52_LGBM_JASPER20",59,59,-0.00127887099970989,-0.0199583037771016,-0.0851686958624831,0.784099546853231,0
"V52_LGBM_ENDER60",59,59,0.00115521653389857,-0.0129643367297751,-0.063527904898978,0.659664975396285,0
"V52_LGBM_ENDER20",59,59,-0.000361294161261382,-0.0180400820363053,-0.0684369950519794,0.747423993128446,0
"V52_LGBM_CYRUSD60",59,59,-0.00181563222388753,-0.0246231709165509,-0.0614774641579879,0.773295983150527,0
"V52_LGBM_CYRUSD20",59,59,-0.00263222736473197,-0.0269916022535613,-0.0943796075874035,0.844839945697148,0
"V51_LGBM_TEAGER60",60,60,0.000456767516598555,-0.0142471530042102,-0.0635290184140323,0.714134728758457,0
"V51_LGBM_TEAGER20",60,60,0.00308521983717922,-0.00888563266274762,-0.0580019413327156,0.671984679342649,0
"V51_LGBM_CYRUS60",60,60,-0.00111634545991762,-0.0215135418599228,-0.056155479916241,0.737577907953574,0
"V51_LGBM_CYRUS20",60,60,-0.00184086266415518,-0.0237825314088406,-0.0679141801147251,0.795845142529418,0
